raw_candidate_id,exec_candidate_id,effective_k,raw_unsafe,exec_unsafe,raw_utility,exec_utility,utility_retention,action_changed,action_distance,fallback,false_safe,safe_candidate_ratio,seed,k_setting,candidate_group_id,controller,method,num_candidates_original
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,29603,DT-Top1,Fixed-UCB-1.64sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,43011,PF,Full-CertiTwin-q90,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,43011,PF,SLA-Rule-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,43011,PF,Fixed-UCB-1sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,43011,PF,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,43011,Greedy-SLA,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.76278657,0.76313806,1.000460797309265,1.0,57.0,0.0,0.0,0.6,0,5,43011,Greedy-SLA,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,43011,Greedy-SLA,Fixed-UCB-1sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,43011,Greedy-SLA,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,43011,DT-Top1,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.76278657,0.76313806,1.000460797309265,1.0,57.0,0.0,0.0,0.6,0,5,43011,DT-Top1,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,43011,DT-Top1,Fixed-UCB-1sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,43011,DT-Top1,Fixed-UCB-1.64sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,58703,PF,Full-CertiTwin-q90,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,58703,PF,SLA-Rule-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,58703,PF,Fixed-UCB-1sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,58703,PF,Fixed-UCB-1.64sigma-Shield,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,58703,Greedy-SLA,Full-CertiTwin-q90,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,58703,Greedy-SLA,SLA-Rule-Shield,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,58703,Greedy-SLA,Fixed-UCB-1sigma-Shield,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,58703,Greedy-SLA,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.77741534,0.6677499,0.8589358424534574,1.0,21.0,0.0,0.0,0.6,0,5,58703,DT-Top1,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.77741534,0.76313806,0.981634939180668,1.0,57.0,0.0,0.0,0.6,0,5,58703,DT-Top1,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.77741534,0.6677499,0.8589358424534574,1.0,21.0,0.0,0.0,0.6,0,5,58703,DT-Top1,Fixed-UCB-1sigma-Shield,5
0,2,5,1.0,0.0,0.77741534,0.6677499,0.8589358424534574,1.0,21.0,0.0,0.0,0.6,0,5,58703,DT-Top1,Fixed-UCB-1.64sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,2290,PF,Full-CertiTwin-q90,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,2290,PF,SLA-Rule-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,2290,PF,Fixed-UCB-1sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,2290,PF,Fixed-UCB-1.64sigma-Shield,5
4,4,5,0.0,0.0,0.7566483,0.7566483,0.9999999999986784,0.0,0.0,0.0,0.0,0.6,0,5,2290,Greedy-SLA,Full-CertiTwin-q90,5
4,4,5,0.0,0.0,0.7566483,0.7566483,0.9999999999986784,0.0,0.0,0.0,0.0,0.6,0,5,2290,Greedy-SLA,SLA-Rule-Shield,5
4,4,5,0.0,0.0,0.7566483,0.7566483,0.9999999999986784,0.0,0.0,0.0,0.0,0.6,0,5,2290,Greedy-SLA,Fixed-UCB-1sigma-Shield,5
4,4,5,0.0,0.0,0.7566483,0.7566483,0.9999999999986784,0.0,0.0,0.0,0.0,0.6,0,5,2290,Greedy-SLA,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,2290,DT-Top1,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.76278657,0.7566483,0.9919528341971308,1.0,57.0,0.0,0.0,0.6,0,5,2290,DT-Top1,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,2290,DT-Top1,Fixed-UCB-1sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,2290,DT-Top1,Fixed-UCB-1.64sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,55984,PF,Full-CertiTwin-q90,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,55984,PF,SLA-Rule-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,55984,PF,Fixed-UCB-1sigma-Shield,5
2,2,5,0.0,0.0,0.6677499,0.6677499,0.9999999999985024,0.0,0.0,0.0,0.0,0.6,0,5,55984,PF,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,55984,Greedy-SLA,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.76278657,0.76313806,1.000460797309265,1.0,57.0,0.0,0.0,0.6,0,5,55984,Greedy-SLA,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,55984,Greedy-SLA,Fixed-UCB-1sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,55984,Greedy-SLA,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,55984,DT-Top1,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.76278657,0.76313806,1.000460797309265,1.0,57.0,0.0,0.0,0.6,0,5,55984,DT-Top1,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,55984,DT-Top1,Fixed-UCB-1sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6677499,0.875408569397236,1.0,21.0,0.0,0.0,0.6,0,5,55984,DT-Top1,Fixed-UCB-1.64sigma-Shield,5
2,2,5,0.0,0.0,0.6682329,0.6682329,0.9999999999985036,0.0,0.0,0.0,0.0,0.6,0,5,52800,PF,Full-CertiTwin-q90,5
2,2,5,0.0,0.0,0.6682329,0.6682329,0.9999999999985036,0.0,0.0,0.0,0.0,0.6,0,5,52800,PF,SLA-Rule-Shield,5
2,2,5,0.0,0.0,0.6682329,0.6682329,0.9999999999985036,0.0,0.0,0.0,0.0,0.6,0,5,52800,PF,Fixed-UCB-1sigma-Shield,5
2,2,5,0.0,0.0,0.6682329,0.6682329,0.9999999999985036,0.0,0.0,0.0,0.0,0.6,0,5,52800,PF,Fixed-UCB-1.64sigma-Shield,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,52800,Greedy-SLA,Full-CertiTwin-q90,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,52800,Greedy-SLA,SLA-Rule-Shield,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,52800,Greedy-SLA,Fixed-UCB-1sigma-Shield,5
4,4,5,0.0,0.0,0.76313806,0.76313806,0.9999999999986896,0.0,0.0,0.0,0.0,0.6,0,5,52800,Greedy-SLA,Fixed-UCB-1.64sigma-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6682329,0.8760417740431953,1.0,21.0,0.0,0.0,0.6,0,5,52800,DT-Top1,Full-CertiTwin-q90,5
0,4,5,1.0,0.0,0.76278657,0.76313806,1.000460797309265,1.0,57.0,0.0,0.0,0.6,0,5,52800,DT-Top1,SLA-Rule-Shield,5
0,2,5,1.0,0.0,0.76278657,0.6682329,0.8760417740431953,1.0,21.0,0.0,0.0,0.6,0,5,52800,DT-Top1,Fixed-UCB-1sigma-Shield,5
